TAXON_ORDER,SPECIES_CODE,COMMON_NAME,REASON,PRIORITY,PARTNER_REQUEST,CONT_MAX,CUSTOM_TAX_YEAR,BOW_LINK,MODEL_AS_RESIDENT,SUMMARIZE_AS_RESIDENT,LAND,STATUS,REVIEWER,LAST_REVIEWER,ANIMATION_QUALITY,NONBREEDING_START,NONBREEDING_END,PREBREEDING_MIGRATION_START,PREBREEDING_MIGRATION_END,BREEDING_START,BREEDING_END,POSTBREEDING_MIGRATION_START,POSTBREEDING_MIGRATION_END,RESIDENT_START,RESIDENT_TREND_START,RESIDENT_TREND_END,RESIDENT_END,NONBREEDING_QUALITY,PREBREEDING_MIGRATION_QUALITY,BREEDING_QUALITY,POSTBREEDING_MIGRATION_QUALITY,FULL_YEAR_QUALITY,SENSITIVE,FORCE_GLOBAL_PROJ,CUSTOM_ES,notes,LAST_SUBMISSION_TIME
4094,comswi,Common Swift,Europe,1,TRUE,Europe,,https://birdsoftheworld.org/bow/species/comswi/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,11-22,01-25,02-01,05-31,06-07,08-02,08-09,11-15,,,,,2,2,2,2,2,,,,Breeding is excellent except for missing some range on the edge in Russia and central Asia. Similarly central Africa missing from nonbreeding. ,2025-01-24T15:51:28.936Z
6021,lobcur,Long-billed Curlew,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/lobcur/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,12-06,02-08,02-15,05-03,05-10,06-07,06-14,11-29,,,,,3,3,3,3,3,,,,Excellent.,2024-10-02T14:35:00.385Z
6024,faecur,Far Eastern Curlew,Australia,1,TRUE,Oceania,,https://birdsoftheworld.org/bow/species/faecur/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,11-29,02-22,03-01,05-31,06-07,06-21,06-28,11-22,,,,,2,1,0,1,2,,,,"Hardly any breeding season signal this year. Nonbreeding still decent, if patchy throughout Indonesia.",2025-01-23T15:24:16.206Z
6026,eurcur,Eurasian Curlew,Europe,1,TRUE,Europe,,https://birdsoftheworld.org/bow/species/eurcur/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,12-13,02-01,02-08,05-10,05-17,06-07,06-14,12-06,,,,,2,2,2,2,2,,,,Still missing a lot of wintering African populations and Russian breeding.,2025-01-24T16:37:38.447Z
6033,batgod,Bar-tailed Godwit,US/CA,1,,Europe,,https://birdsoftheworld.org/bow/species/batgod/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,11-29,03-01,03-08,06-07,06-14,06-28,07-05,11-22,,,,,2,2,2,2,2,,,,"Missing a lot of Russia and Africa, but Europe and east Asia are good.",2024-10-07T19:36:16.219Z
6048,hudgod,Hudsonian Godwit,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/hudgod/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,12-06,03-29,04-05,05-31,06-07,06-21,06-28,11-29,,,,,3,3,2,3,3,,,,"Missing a number of breeding pops, including BC/Yukon. The Yukon delta isn't extensive enough. Probably missing some smaller parts of Alaska. Central NWT territories missing.",2024-10-01T15:15:36.471Z
6051,margod,Marbled Godwit,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/margod/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,11-22,03-08,03-15,05-24,05-31,06-14,06-21,11-15,,,,,3,3,3,3,3,,,,Missing James Bay as breeders. Only captured in post-breeding migration.,2024-10-02T14:43:53.734Z
6056,asidow1,Asian Dowitcher,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/asidow1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,PS,0,11-01,04-12,04-19,05-31,06-07,07-05,07-12,10-25,,,,,1,1,0,2,1,,,,"Basically fails almost every season in the animation. Static maps are a bit better, though breeding season missing majority of breeding range. Post breeding migration is the best represented. Wintering range missing good portions of the range as well.",2025-02-07T13:23:15.557Z
6057,shbdow,Short-billed Dowitcher,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/shbdow/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,10-25,03-08,03-15,05-31,06-07,06-21,06-28,10-18,,,,,3,3,2,3,3,,,,"Breeding is missing Sask, and most of QC. Lowering the ensemble support would extrapolate around Hudson Bay, so not doing it. Keeping breeding a 2.",2024-11-24T21:25:24.671Z
6061,lobdow,Long-billed Dowitcher,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/lobdow/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,12-27,02-08,02-15,06-07,06-14,06-28,07-05,12-20,,,,,3,3,3,3,3,,,,Breeding not quite far enough east in Mackenzie delta. Probably missing some James Bay from migration.,2024-10-02T14:39:12.851Z
6064,amewoo,American Woodcock,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/amewoo/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,12-06,01-11,01-18,04-19,04-26,07-26,08-02,11-29,,,,,3,3,3,3,3,,,,Excellent.,2024-11-21T01:43:32.107Z
6065,eurwoo,Eurasian Woodcock,Europe,1,TRUE,Europe,,https://birdsoftheworld.org/bow/species/eurwoo/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,1,12-27,01-18,01-25,05-10,05-17,06-28,09-20,12-20,,,,,1,1,2,1,1,,,,"okay for what it does model, I think, especially Europe; huge miss in Asia and expected late-summer drop-off. Breeding in Europe is decent, nonbreeding not great. ",2025-01-13T20:59:18.822Z
6079,subsni1,Subantarctic Snipe,New Zealand,1,,Oceania,,https://birdsoftheworld.org/bow/species/subsni1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,NZBA,0,,,,,,,,,09-13,,,03-29,1,1,1,1,1,,,,Missing Snares and Antipodes. No data during austral winter. Good that it's not predicting all over Auckland Island.,2024-08-06T20:38:27.851Z
6092,pitsni,Pin-tailed Snipe,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/pitsni/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,PS,0,10-11,02-15,02-22,05-03,,,08-30,10-04,,,,,1,2,0,2,1,,,,"Animation map fails & difficult to evaluate correct season/dates; range completely disappears off the map in May-Aug. So, actual breeding season difficult to assign & clashes with winter range in SE Asia (postbreeding time). The reason why parts of SE Asia incorrectly show up as resident range (purple) if breeding assigned. Static map has Borneo missing & Sumatra overextrapolated; Russia overall understated.",2025-03-17T21:03:07.381Z
6094,latsni1,Latham's Snipe,Australia,1,TRUE,Oceania,,https://birdsoftheworld.org/bow/species/latsni1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,10-04,03-08,03-15,05-17,05-24,07-12,08-02,09-27,,,,,3,3,3,2,3,,,,"A little noise during post-breeding, otherwise, excellent. Missing Russian breeders and/or migratns.",2025-01-14T21:52:28.277Z
6099,comsni,Common Snipe,Europe,1,TRUE,Europe,,https://birdsoftheworld.org/bow/species/comsni/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,12-27,02-22,03-01,05-24,05-31,06-28,07-05,12-20,,,,,2,2,2,2,2,,,,"Breeding is missing most of Russia and nonbreeding is missing most of Africa, in between, however, everything is quite good!",2025-01-24T15:47:44.880Z
6104,wilsni1,Wilson's Snipe,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/wilsni1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,12-27,02-01,02-08,05-24,05-31,07-05,07-12,12-20,,,,,3,3,3,3,3,,,,A little rougher along the northern edge in Nunavut and Quebec.,2024-12-07T13:53:37.098Z
6110,punsni1,Puna Snipe,Chile,1,,South America,,https://birdsoftheworld.org/bow/species/punsni1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,VPM,3,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,Excellent.,2025-01-24T15:15:18.127Z
6116,soasni3,Magellanic Snipe,Chile,1,,South America,,https://birdsoftheworld.org/bow/species/soasni3/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,VPM,2,05-17,07-26,08-02,10-11,10-18,02-08,02-15,05-10,,,,,3,2,3,2,2,,,,Noisy. Some seasonal movements. However there are also many erratic distribution changes within seasons.,2025-01-24T15:12:20.454Z
6119,wilpha,Wilson's Phalarope,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/wilpha/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,11-08,01-11,01-18,05-31,06-07,07-05,07-12,11-01,,,,,3,3,3,3,3,,,,Excellent.,2024-12-07T13:50:12.386Z
6120,redpha1,Red Phalarope,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/redpha1/cur/introduction#mig,FALSE,FALSE,WATER,UNREVIEWED,,MTA,2,01-04,03-01,03-08,05-31,06-07,06-21,06-28,12-27,,,,,1,1,2,2,2,,,,"Nonbreeding is missing a lot, especially off Africa and South America, but North America and Europe are decent, areas that are also good for post-breeding migration. Breeding is surprisingly decent, but missing Russia. Pretty impressed with how well things are handled around Alaska.",2025-01-20T21:41:43.785Z
6121,renpha,Red-necked Phalarope,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/renpha/cur/introduction#mig,FALSE,FALSE,WATER,UNREVIEWED,,MTA,2,11-22,03-15,03-22,06-07,06-14,06-21,06-28,11-15,,,,,1,2,2,2,2,,,,Managed to pick up a few good nonbreeding zones. More honest with Russia and Greenland this year. Obviously still missing much of Russia.,2025-01-13T18:31:35.929Z
6124,tersan,Terek Sandpiper,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/tersan/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,PS,1,11-15,03-22,03-29,06-14,,,07-05,11-08,,,,,2,1,0,1,1,,,,"2025: Animation is poor, disappears for portions of the year. Nonbreeding season does pretty well, but migrations are missing a large portion of their range, and breeding season missing entirely still.

2023: Missing breeding season entirely. Non-breeding is great",2025-03-06T21:25:21.686Z
6125,comsan,Common Sandpiper,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/comsan/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,PS,2,11-22,03-01,03-08,05-24,05-31,06-14,06-21,11-15,,,,,2,2,1,2,2,,,,"2025: Animation looks quite good for areas predicted, shows movements well. Static maps also good for what they show, though vast areas of Russia missing for breeding range, and Africa for nonbreeding.

2023: Rough edges in Africa and breeding incomplete in Russia, otherwise, decent",2025-03-16T20:18:16.684Z
6126,sposan,Spotted Sandpiper,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/sposan/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,12-06,03-15,03-22,06-07,06-14,06-21,06-28,11-29,,,,,3,3,3,3,3,,,,I think Brazil is adequately represented here. Missing some chunks of Quebec in breeding.,2024-12-06T17:08:56.630Z
6128,grnsan,Green Sandpiper,Europe,1,TRUE,Europe,,https://birdsoftheworld.org/bow/species/grnsan/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,11-22,02-15,02-22,05-17,05-24,05-24,05-31,11-15,,,,,2,2,1,2,2,,,,"Nonbreeding missing a chunk of Africa, otherwise, quite good. Lots of lingering birds during peak of breeding, which makes setting dates hard, but timing is so much better this year.",2025-01-28T16:53:45.722Z
6129,solsan,Solitary Sandpiper,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/solsan/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,11-08,02-22,03-01,05-24,05-31,06-14,06-21,11-01,,,,,3,3,3,3,3,,,,"Struggling in northcentral Sask a little. Otherwise, quite good.",2024-12-06T17:03:34.440Z
6133,gyttat1,Gray-tailed Tattler,US/CA,1,,Oceania,,https://birdsoftheworld.org/bow/species/gyttat1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,0,11-29,02-22,03-01,06-14,,,07-05,11-22,,,,,3,2,0,2,2,,,,Nothing for breeding season! Migration got much more restrained in Russia. Australia good for nonbreeding.,2024-09-30T20:49:28.843Z
6134,wantat1,Wandering Tattler,US/CA,1,,Oceania,,https://birdsoftheworld.org/bow/species/wantat1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,10-11,04-12,04-19,05-31,06-07,06-28,07-05,10-04,,,,,2,2,2,2,2,,,0.5,The coverage of pacific islands is not quite complete enough for this to be a 3 during the three non-breeding seasons.,2025-01-28T15:38:04.176Z
6136,marsan,Marsh Sandpiper,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/marsan/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,PS,1,11-29,02-22,03-01,05-10,05-24,06-14,06-21,11-22,,,,,2,2,1,2,2,,TRUE,,"2025: Animation missing most breeding areas but movements and wintering still show up somewhat. Static maps do better other than breeding, which is in horrible shape. Nonbreeding a bit overextrapolated to the north. Migrations show more of breeding range than the breeding map does, and are underextrapolated on the eastern edge.

2023: Rough northern edge kills the animation, but makes salvegable dates for seasons.",2025-03-15T18:56:45.474Z
6137,woosan,Wood Sandpiper,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/woosan/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,PS,1,12-06,02-15,02-22,06-07,06-14,06-21,06-28,11-29,,,,,2,2,1,2,2,,,,"2025: Animation not horrible, shows the migration well but fails during breeding season. Static maps ok for the predicted areas, but large parts of the range unpredicted. Breeding especially poor, missing well over half the range, and also showing a bit of overprediction to the south.

2023: Pretty consistent across the board. A few rough edges as expected.",2025-03-18T02:05:21.219Z
6192,dunlin,Dunlin,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/dunlin/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,12-20,02-15,02-22,06-07,06-14,06-28,07-05,12-13,,,,,3,2,2,2,3,,,,"Missing Russia for migrations, but the non-breeding is really good, I think we've captured the full range well.",2024-11-26T20:39:06.005Z
6145,lesyel,Lesser Yellowlegs,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/lesyel/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,12-13,02-01,02-08,05-24,05-31,06-07,06-14,12-06,,,,,3,3,3,3,3,,,,"Excellent. A little bit honestly patchy in the Amazon and e. Brazil, but not bad.",2024-10-01T21:36:11.384Z
6146,norgre1,Nordmann's Greenshank,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/norgre1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,PS,0,11-01,03-22,03-29,05-10,,,08-09,10-25,,,,,1,1,0,1,1,,,,"2025: Animation a complete failure. Missing many weeks entirely, and all ranges that are shown are underextrapolated. Static maps missing all of breeding season. Nonbreeding missing western areas in Bangladesh entirely, and underextrapolated in Sumatra. Hard to full evaluate migrations but both appear underextrapolated.

2023: Need to see seasons, should be close.",2025-03-15T19:03:08.546Z
6147,willet1,Willet,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/willet1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,11-15,03-08,03-15,05-31,06-07,06-14,06-21,11-08,,,,,3,3,3,3,3,,,,"NE Brazil coast still a little patchy, especially during Nonbreeding.",2024-12-07T13:42:09.269Z
6152,comgre,Common Greenshank,Europe,1,TRUE,Europe,,https://birdsoftheworld.org/bow/species/comgre/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,12-06,03-01,03-08,05-24,05-31,06-07,06-14,11-29,,,,,2,2,2,2,2,,,,"Missing a lot of breeding and migration in Russia. Nonbreeding seems very decent, even pretty good in Africa, where predicted.",2025-03-04T21:01:04.284Z
6154,greyel,Greater Yellowlegs,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/greyel/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,12-13,02-08,02-15,05-31,06-07,06-14,06-21,12-06,,,,,3,3,3,3,3,,,,"A touch more restricted on the northern edge this year, especially in Quebec, but still excellent throughout most of the range.",2024-10-14T16:12:28.751Z
29558,eupfly1,European Pied Flycatcher,Europe,1,TRUE,Europe,,https://birdsoftheworld.org/bow/species/eupfly1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,11-22,03-22,03-29,05-24,05-31,07-05,07-19,11-15,,,,,1,2,2,2,2,,,,Nonbreeding is extrapolating less now into that sahel. Breeding still doesn't go quite far enough east in Russia.,2025-01-24T17:11:31.047Z
6164,blktur,Black Turnstone,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/blktur/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,11-08,04-05,04-12,05-24,05-31,06-21,06-28,11-01,,,,,2,3,3,3,3,,,,"Not quite far enough south in Mexico during nonbreeding and a little patchy in Alaska, should probably connect Kodiak Island with BC (although hardly any records). Breeding very good. ",2024-10-07T20:07:48.144Z
2015,eutdov,European Turtle-Dove,Europe,1,TRUE,Europe,,https://birdsoftheworld.org/bow/species/eutdov/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,1,11-22,02-15,02-22,05-10,05-17,08-09,08-16,11-15,,,,,1,2,2,2,2,,,,Still needs more Russia and central Asia and most of non-breeding not filled in. Missing parts of Africa and Arabian peninsula in breeding as well. Europe looks good. ,2024-11-13T16:23:51.583Z
6166,redkno,Red Knot,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/redkno/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,12-27,02-22,03-01,06-07,06-14,07-05,07-12,12-20,,,,,2,2,1,2,2,,,,"Breeding is not good, missing a lot of islands and parts of the range. W. Alaska is okay. High arctic is not good. Nonbreeding is okay. ",2024-10-14T19:57:57.621Z
6174,surfbi,Surfbird,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/surfbi/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,10-18,03-01,03-08,05-24,05-31,06-21,06-28,10-11,,,,,3,3,3,3,3,,,0.5,"A little bleed onto Siberia for breeding that's not correct, otherwise pretty good.",2025-01-28T15:37:05.564Z
6177,ruff,Ruff,US/CA,1,,Europe,,https://birdsoftheworld.org/bow/species/ruff/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,12-13,01-18,01-25,05-31,06-07,06-14,06-21,12-06,,,,,2,2,2,2,2,,,,Breeding is quite poor in Russia. Nonbreeding is missing a lot in the general Indonesia vicinity as well across central Africa. Europe great. Arabian peninsula with much less extrap.,2024-11-26T20:53:50.419Z
6178,brbsan,Broad-billed Sandpiper,Europe,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/brbsan/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,0,11-01,03-08,03-15,06-07,06-14,06-14,07-12,10-25,,,,,2,1,1,1,1,,,,Breeding missing most of Russia and a lot of Scandinavia. Migrations capture routes in Europe and China well. Nonbreeding has gotten patchy. Missing Bangladesh and Burma. I think Australia is a little more realistic this time around. Missing Red sea.,2025-02-19T21:33:54.180Z
6181,shtsan,Sharp-tailed Sandpiper,US/CA,1,,Oceania,,https://birdsoftheworld.org/bow/species/shtsan/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,1,12-06,03-01,03-08,06-14,,,07-12,11-29,,,,,2,2,0,2,2,,,,Missing breeding season. Other seasons are decent.,2024-11-26T21:00:10.401Z
6182,cursan,Curlew Sandpiper,US/CA,1,,Europe,,https://birdsoftheworld.org/bow/species/cursan/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,0,11-15,02-22,03-01,06-07,06-14,06-28,07-05,11-08,,,,,2,2,0,2,2,,,,"Wow, not sure how these disappeared into northern Russia so thoroughly. Nonbreeding looks good, if a little patchy in parts of Russia. Europe is good for migration.",2024-10-11T20:23:17.845Z
6183,stisan,Stilt Sandpiper,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/stisan/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,11-22,01-18,01-25,06-07,06-14,06-28,07-05,11-15,,,,,3,3,2,3,3,,,,High arctic is a little noisy for breeding and maybe a little too restricted in Nunavut.,2024-11-24T21:42:38.280Z
6184,temsti,Temminck's Stint,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/temsti/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,PS,2,11-01,03-15,03-22,06-07,06-14,06-28,07-05,10-25,,,,,1,1,1,1,1,,,,"2025: Animation missing majority of breeding range and African wintering range. Static maps also not great due to mostly missing breeding and winter ranges, and as a consequence incomplete.

2023: Breeding does suprisingly well. Missing Much of African wintering population.",2025-03-18T02:22:53.987Z
6185,lotsti,Long-toed Stint,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/lotsti/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,PS,1,10-25,03-22,03-29,06-07,,,07-05,10-18,,,,,2,1,0,1,2,,,,"Animation shows most of the year and movements fairly well but disappears during breeding. Static maps so-so, nonbreeding missing eastern portions in PNG and other areas, and migrations also underextrapolated.",2025-03-18T22:07:34.154Z
6186,rensti,Red-necked Stint,US/CA,1,,Oceania,,https://birdsoftheworld.org/bow/species/rensti/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,12-06,03-01,03-08,06-07,06-14,07-05,07-12,11-29,,,,,3,2,1,2,2,,,,Missing most of the breeding range. Missing a lot of migration throughout Russia and some interior.,2024-10-14T20:22:24.318Z
6187,spbsan1,Spoon-billed Sandpiper,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/spbsan1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,PS,0,11-01,03-15,03-22,05-17,,,08-23,10-25,,,,,1,1,0,1,2,,,,"2025: Animation entirely missing full on seasons and majority of range other than nonbreeding. Static maps also not great. Missing breeding season entirely. Migration ranges show some of the stopover points but not all of them. Nonbreeding missing some of the less well known wintering sites (such as Bangladesh).

2023: Overextrapolated on breeding and during post-breeding migration.",2025-03-15T18:45:11.936Z
6188,bubsan,Buff-breasted Sandpiper,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/bubsan/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,11-08,02-22,03-08,05-31,06-07,07-12,07-19,11-01,,,,,2,2,2,3,3,,,,Breeding patchy in high arctic. Some more interior nonbreeding sites probably a bit restricted.,2024-09-23T20:07:27.318Z
6189,sander,Sanderling,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/sander/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,12-20,03-22,03-29,06-14,06-21,06-28,07-05,12-13,,,,,2,2,1,2,2,,,,"Everything but breeding is pretty solid. At least this year breeding doesn't have too much terrible extrap, even if it's missing Alaska and lots of Russia.",2024-12-06T16:54:54.008Z
25273,garwar1,Garden Warbler,Europe,1,,Europe,,https://birdsoftheworld.org/bow/species/garwar1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MSM,1,,,,,,,,,,,,,1,1,1,1,1,,,,,
6207,pursan,Purple Sandpiper,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/pursan/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,12-13,03-15,03-22,06-07,06-14,07-05,07-12,12-06,,,,,3,2,1,2,2,,,,"During breeding, missing some Canadian islands, Greenland, and further east Russian pops, Not overextraping on Greenland this year during migrations.",2024-10-08T19:54:09.547Z
6209,rocsan,Rock Sandpiper,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/rocsan/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,11-01,03-15,03-22,05-17,05-24,06-28,07-05,10-25,,,,,2,2,1,2,2,,,,"Managed to not overextrap too badly in w. Alaska during nonbreeding, so could keep for season. Aleutians go sparser during breeding. Missing Alaskan breeders and Japanese nonbreeders. ",2024-10-14T20:31:52.999Z
6217,baisan,Baird's Sandpiper,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/baisan/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,12-06,01-25,02-01,06-07,06-14,06-28,07-05,11-29,,,,,3,3,2,3,3,,,,breeding range a little patchy but pretty good,2024-11-26T20:36:58.838Z
6219,litsti,Little Stint,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/litsti/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,PS,2,11-22,03-22,03-29,06-07,06-14,06-28,07-05,11-15,,,,,2,1,0,1,1,,,,"2025: Animation shows migrations pretty well but completely fails at breeding. Static maps generally not great. Breeding missing 99% of total range. Nonbreeding better, but incomplete in Africa. Migrations would be better but missing most of northern/eastern Asia.

2023: Not bad. A little too much northerly extrap during nonbreeding, but pretty good on the whole.",2025-03-18T22:14:10.327Z
6221,whrsan,White-rumped Sandpiper,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/whrsan/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,12-20,03-29,04-05,06-21,06-28,07-12,07-19,12-13,,,,,3,2,1,2,2,,,,"issues in breeding season and migrations, especially in Arctic, with abundance, some islands fully filled in and others blank, etc. Nice to not be extrapolating postbreeders all around James Bay inland. Breeding coverage is certainly incomplete, but better than nothing.",2024-12-06T20:40:49.340Z
6226,leasan,Least Sandpiper,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/leasan/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,12-27,02-15,02-22,06-07,06-14,06-21,06-28,12-20,,,,,3,3,3,3,3,,,,Nonbreeding misses some of NE Brazil. Breeding misses some of Quebec and Labrador.,2024-10-01T21:11:06.129Z
6227,pecsan,Pectoral Sandpiper,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/pecsan/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,12-13,01-04,01-11,06-07,06-14,06-28,07-05,12-06,,,,,3,3,2,3,3,,,,Canadian high arctic still messy with overprediction across some islands and missing others. Migrations and nonbreeding are very good. ,2024-10-14T17:32:58.538Z
6231,wessan,Western Sandpiper,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/wessan/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,11-22,03-01,03-08,05-24,05-31,06-14,06-21,11-15,,,,,3,3,3,3,3,,,,Excellent.,2024-12-06T20:32:05.373Z
6232,semsan,Semipalmated Sandpiper,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/semsan/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,11-22,02-22,03-01,06-07,06-14,06-21,06-28,11-15,,,,,3,3,3,3,3,,,,Excellent. Made breeding a week longer since it's stable on the breeding grounds then.,2024-11-24T19:42:09.604Z
6258,barbut1,Barred Buttonquail,India,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/barbut1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,PS,2,,,,,,,,,01-04,,,12-27,2,2,2,2,2,,,,"2025: Edges too tight overall in core range. India range overall very overextrapolated. W edge of range a bit tight, can stretch into Karachi, S Pakistan. Nepal range missing entirely. China range overall underextrapolated or parts missing. S Myanmar & S Japan islands understated. Animation map shows local movements, but density in summer seems relatively skewed compared to winter.
2023: Sparse in a few places, but overall pattern is pretty good.",2025-03-15T01:16:33.207Z
